perfume_id,brand,name,old_price,old_price_THB,new_price,new_price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings
395,CHOPARD,Happy Spirit,269,8885.07,148.95,4919.8185,75,EDP,Women,Fruity,"Amber, Musk, Cashmere Wood","Honeysuckle, Osmanthus",5,AMLAQ,3.9,135
396,Guerlain,Ideal,516,17043.48,228.2,7537.446,100,EDT,Men,Woody,"Leather, Cedar, Vetiver","Almond, Tonka Bean",4,AMLAQ,3.9,135
397,CHLOE,Chloe,428,14136.84,188.85,6237.7155,50,EDP,Women,Floral,"Amber, Virginia Cedar","Rose, Lily-Of-The-Valley, Caribbean Magnolia",5,hadayiq baris,3.8,122
398,TED LAPIDUS,Lapidus Pour Homme,122,4029.66,66,2179.98,100,EDT,Men,Woody,"Sandalwood, tonka bean, amber, patchouli, musk, oakmoss, cedar, tobacco.","pine tree, honey, orris root, jasmine, caraway, petitgrain, lily-of-the-valley, rose, brazilian rosewood, incense",5,Diorworld,3.5,75
399,CAROLINA HERRERA,Bad Boy,652,21535.56,204,6738.12,100,EDT,Men,Spicy,"Tonka Bean, Amberwood, Cacao","Cedar, Sage",5,The first fragrance,4.1,5
400,VERSACE,Blue Jeans,170,5615.1,109.25,3608.5275,75,EDT,Men,Arabian,"Vanilla, Tonka Bean, Iris, Sandalwood, Musk, Amber, Vetiver, Cedar, Patchouli","Lavender, Rose, Carnation, Heliotrope, Jasmine, Geranium, Sage, Fir, Lily-Of-The-Valley",4.4,noon,4.2,98.1K
401,BVLGARI,Extreme,441,14566.23,203.8,6731.514,100,EDT,Men,Citrus,"Balsa Wood, Haitian Vetiver, Laotian Benzoin","White Freesia, Guatemalan Cardamom, Vegetal Amber",5,noon,4.2,98.1K
402,LACOSTE,Pour Femme,322,10635.66,123.05,4064.3415,90,EDP,Women,Floral,"Cedar, Vetiver, Sandalwood, Musk","Jasmine Petals, White Heliotrope, Hibiscus",4.5,noon,4.2,98.1K
403,S.T.Dupont,Dupont,221,7299.63,83.9,2771.217,100,EDT,Men,Spicy,"Heliotrope, Musk, Lignum Vitae, Amber","Essence Of Birch, Iris, Cedar Wood",4.4,noon,4.2,98.1K
404,DORALL COLLECTION,Simple,15,495.45,8.5,280.755,100,EDT,Women,Floral,"Amber, patchouli, vanilla, musk, sandalwood","Magnolia, gardenia, lily of the valley, freesia, jasmine",4.3,B.A.G,3.7,14.1K
405,CHOPARD,Happy Spirit,185,6110.55,155,5119.65,75,EDP,Women,Fruity,"Amber, Musk, Cashmere Wood","Honeysuckle, Osmanthus",5,Star.perfume,3.9,537
406,COACH,New York,501,16548.03,183.95,6075.8685,90,EDP,Women,Fruity,Suede Musk Sandalwood Cashmeran,Turkish Rose Gardenia Cyclamen,4.7,Star.perfume,3.9,537
407,BOUCHERON,Place Vendome,201,6639.03,177.9,5876.037,100,EDP,Women,Floral,"Cedar, Sensual Benzoin","Jasmine Petals, Peony, Creamy Honey",4.5,Lolita Shop,3.7,347
408,CARTIER,Declaration D'Un Soir,365,12055.95,213,7035.39,100,EDT,Men,Spicy,Sandalwood,"Rose, Nutmeg",4.8,AMLAQ,3.9,135
409,CHANEL,Allure Homme Sport EDT For,800,26424,423,13971.69,100,EDT,Men,Citrus,"Tonka Bean, Atlas Cedar, Vetiver, White Musk, Pepper","Cedar,Neroli,Pepper",5,hadayiq baris,3.8,122
410,DAVIDOFF,Leather Blend,420,13872.6,224.85,7426.7955,100,EDP,Unisex,Spicy,"Leather,Papyrus","Rose, Amber",5,Y,3.5,75
411,Al Fakhr,Shiyoukh Al Oud,8.9,293.967,8.9,293.967,100,EDP,Unisex,"Woody, Musky","Sandalwood, Cedarwood","Black Pepper, Cardamom",4.5,Bismat Eatar,3.7,66
412,Dolce & Gabbana,Intenso,496,16382.88,200.35,6617.5605,125,EDP,Men,Spicy,"Labdanum, Sandalwood, Cypress, Musk, Amber","Tobacco, Hay, Moepel Accord, Clary Sage, Bran",4.5,noon100  % original genuine product,4.2,98.1K
413,Dolce & Gabbana,L'imperatrice 3,245,8092.35,148.3,4898.349,100,EDT,Women,Floral,"Citrus Wood, Musks, Sandalwood","Watermelon, Cyclamen, Jasmine",4.3,noon,4.2,98.1K
