perfume_id,brand,name,img_url,old_price,new_price,price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,,,THB,min_price,max_price,,,,
32,Dolce & Gabbana,The Only One,https://assets.central.co.th/dolcegabbanaonline-womenfragrancetheonlyoneperfume100ml-CDS96649350-1?$JPEG$,596,187.3,6207.122,100,EDP,Women,"Oriental, Floral","Marshmallow, Vanilla, Sandalwood, Heliotrope","Coffee, Iris",5,Asrar Aljamal,3.5,244,,,,,,,,,
33,Rasasi,Al Wisam Day,https://i5.walmartimages.com/asr/b92c9fc5-cb32-4064-9daa-5d735f7ea69d.782f70f11a93c1b7aaeecd5f34af0055.png,177,76,2518.64,100,EDP,Men,Oriental,"Oakmoss, Rich, Oud","Amber Nuanced Clary Sage, Soft, Milky Sandalwood, Woody, Cedarwood",4.3,hadayiq baris,3.8,122,,,,,,,,,
34,Mancera,Black Vanilla,https://manceraparfums.us/cdn/shop/files/BV_434x.png?v=1718726248,588,296,9809.44,120,EDP,Unisex,Woody,"Vanilla, White Musk","Delicate Bulgarian Rose, Violet, Jasmine",3,MAKE UP,3.8,71,,,,,,,,,
35,Dior,Addict,https://d.line-scdn.net/lcp-prod-photo/20210116_23/16107239042059l7RN_JPEG/CFZ7NM19L9YAWPMW31YG9RA50XLPFY.jpg,715,333.8,11062.132,100,EDP,Women,Floral,"Vanilla, Sandal Wood, Tonka Bean","Night Queen Flower, Bulgarian Rose, Orange Flower",4.5,Parfume-Stor,3.5,63,,,,,,,,,
36,S.T.Dupont,Passenger,"https://m.media-amazon.com/images/I/61nvSnojczL._AC_UF894,1000_QL80_.jpg",182,108.9,3608.946,100,EDT,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",5,perfumes--addresses,4.4,59,,,,,,,,,
37,BURBERRY,Brit Rhythm Intense,https://i.ebayimg.com/images/g/gqQAAOSwPCBgZ2I7/s-l1600.webp,370,136.65,4528.581,90,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Bean,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",4.6,noon,4.2,98.1K,,,,,,,,,
38,Calvin Klein,CK Be,https://assets.central.co.th//adobe/dynamicmedia/deliver/dm-aid--bfea0388-1fff-4f75-af6d-e937c98f2bf2/calvin-klein-ckbeedt100ml-cds14546563-1.jpg?preferwebp=true&quality=85,247,108.3,3589.062,200,EDT,Men,Floral,"Musk, Sandalwood, Cedar, Vanilla, Opoponax, Amber","Green Grass, Peach, Jasmine, Freesia, Magnolia, Orchid",5,noon,4.2,98.1K,,,,,,,,,
39,GUCCI,Guilty,"https://img.kingpowerclick.com/cdn-cgi/image/format=auto/kingpower-com/image/upload/w_640,h_640/v1696472280/prod/1025640-L4.jpg",504,214.9,7121.786,75,EDT,Women,Floral,"Patchouli, Amber","Raspberry Vilolet, Lilac, Peach",5,noon,4.2,98.1K,,,,,,,,,
40,AIGNER,Starlight,https://albusthan.ae/images/products/5/gallery/Aigner%20Starlight%20For%20Women%20Eau%20De%20Parfum%20100ML.jpg,341,126.95,4207.123,100,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, White Musk","Cumin, Jasmine, Strawberries",5,noon,4.2,98.1K,,,,,,,,,
41,BENTLEY,Azure,https://plummour.com/wp-content/uploads/2022/02/Bentley-Azure-by-Bentley-EDT-100ml-1.jpg,387,107,3545.98,100,EDT,Men,Citrus,"Cashmere Wood, Tonka Bean, Orcanox","Pimento, Tea Accord, Lavender, Clary Sage",4.6,Cute Shop,4.1,538,,,,,,,,,
42,VERSACE,Dylan Blue,https://down-th.img.susercontent.com/file/e341116afe9ffb0f95bc76df42aa0fd9,85,20.5,679.37,5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Bean","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",4.4,Princess of beauty,4.2,467,,,,,,,,,
43,Estee Lauder,Modern Muse,https://m.esteelauder.co.th/media/export/cms/products/308x424/el_sku_YF3201_308x424_0.jpg,450,164.4,5448.216,50,EDP,Women,Floral,"Amber, Musk, Patchouli, Woody","Honey Suckle, Jasmine Sambac, Lily, Tuberose",5,King-Perfume,3.9,450,,,,,,,,,
44,Yves Saint Laurent,La Nuit De L'Homme L'Intense,https://i.notino.com/view/yves-saint-laurent/yslnhim_aedp10_03__2.jpg,583,204,6760.56,100,EDP,Men,Vanilla,"Tonka Bean, Patchouli","Vanilla, Sage",5,Parfume-Stor,4.1,319,,,,,,,,,
45,Juicy Couture,Vivi La Juicy Limited Edition,https://fimgs.net/mdimg/perfume/375x500.52207.jpg,235,154.1,5106.874,100,EDP,Women,Floral,"Amber, Caramel, Vanilla, Sandalwood, Pralines","Honeysuckle, Gardenia, Jasmine",5,AMLAQ,3.9,135,,,,,,,,,
46,Laura Mars,Splandid,https://perfumeg.com/cdn/shop/products/zoom-15600706281068.jpg?v=1589867959,36,36,1193.04,100,EDP,Women,Floral,"Vanilla, Amber","Jasmine, Geranium, Neroli, Ylang-Ylan",5,hadayiq baris,3.8,122,,,,,,,,,
47,GIORGIO ARMANI,Stronger With You,https://s.cdnsbn.com/images/products/xl/26066231005.jpg,415,170,5633.8,100,EDT,Men,Vanilla,"Vanilla, Chestnut, Cedar, Amber, Guaiac Wood","Pineapple, Sage, Melon, Cinnamon, Lavender",4.5,hadayiq baris,3.8,122,,,,,,,,,
48,CHLOE,Chloe,https://static.beautytocare.com/media/catalog/product/c/h/chloe-eau-de-parfum-for-women-75ml_1.jpg,631,186,6164.04,75,EDP,Women,Floral,"Cedar, Amber","Magnolia, Lily-of-the-valley, Rose",3.5,عالم المشاهير,3.5,75,,,,,,,,,
49,HERMES,Terre D'Hermes,https://www.fragranceoutlet.com/cdn/shop/products/Hermes-Terre-D-Hermes-Mens-Eau-de-Toilette-Spray-1.6-Best-Price-Fragrance-Parfume-FragranceOutlet.com-Details.jpg?v=1626963864&width=1946,15,9.55,316.487,2,EDT,Men,Citrus,"Patchouli, Cedar, Vetiver, Benzoin","Pepper, Pelargonium",5,beautiful lady,3.8,23,,,,,,,,,
50,Elizabeth Arden,5Th Avenue,https://www.lmching.com/cdn/shop/files/elizabeth-arden-5th-avenue-eau-de-parfum-30ml-125ml-lmching-group-limited-3_540x.png?v=1690969383,135,89.4,2962.716,125,EDP,Women,Floral,"Amber, Vanilla, Clove, Iris, Musk, Sandalwood","Peach, Jasmine, Bulgarian Rose, Violet, Tuberose, Carnation, Nutmeg, Ylang-Ylang",3.8,noon,4.2,98.1K,,,,,,,,,
51,VERSACE,Dylan Blue,"https://m.media-amazon.com/images/I/61xeSu5nITL._AC_UF1000,1000_QL80_.jpg",425,217.85,7219.549,100,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",4.6,noon,4.2,98.1K,,,,,,,,,
52,Benetton,Hot Gold,https://www.perfumesthailand.com/image/cache/data/1/benetton-hot-gold-300x300.jpg,45,27.45,909.693,100,EDT,Women,Fresh,"Amber, Musk, Sandalwood","Carambola, Rose, Mimosa",4.4,noon,4.2,98.1K,,,,,,,,,
53,PACO RABANNE,Invictus,"https://img.kingpowerclick.com/cdn-cgi/image/format=auto/kingpower-com/image/upload/w_640,h_640/v1626852959/prod/496007-l1.jpg",395,210,6959.4,100,EDT,Men,Citrus,"Guaiac Wood, Patchouli","Ambregris Accord, Grapefruit Zests",4.8,Boutique Wareef,3.8,98,,,,,,,,,
54,Roberto Cavalli,Nero Assoluto,https://fimgs.net/mdimg/perfume/375x500.18833.jpg,264,129.55,4293.287,75,EDP,Women,Arabian,"Ebony, Woody",Vanilla,5,noon,4.2,98.1K,,,,,,,,,
55,DORALL COLLECTION,Scholar,https://f.nooncdn.com/p/v1531812165/N15808238A_1.jpg?format=avif&width=240,19,9.45,313.173,100,EDT,Men,Floral,"Patchouli, Moss, Amber, Sandalwood, Musk, Woody","Jasmine, Peach, Apple, Green Notes, Lavender, Muguet, Dried Fruits.",5,B.A.G,3.7,14.1K,,,,,,,,,
56,Calvin Klein,Eternity,https://image-optimizer-th.production.sephora-asia.net/images/product_images/closeup_1_Product_3614229135145-Calvin-Klein-Eternity-Eau-De-Parfum-For-Men-100ml_422e5e9d96ee41a9a23f827310242cc0b6c34d4c_1686304295.png,131,100,3314,100,EDT,Men,Floral,"Sandalwood, Amber, Musk, Vetiver, Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-of-the-valley, Geranium",4,hadayiq baris,3.8,122,,,,,,,,,
57,Juicy Couture,Viva La Juicy Noir,https://image-optimizer-th.production.sephora-asia.net/images/product_images/closeup_719346167086_Viva-La-Juicy-Nior_30ml_1_88c33c714d9aed8a56b1514f7ab2199321e0cc61_1619267982.png,490,144.45,4787.073,100,EDP,Women,Fruity,"Amber, Caramel, Vanilla, Sandalwood","Gardenia, Honeysuckle, Jasmine",4.9,Rose Gallary,3.5,63,,,,,,,,,
